Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event
,ND,C. ChecaC. Checa,,19 Laps,Event gbr,2002.0,gbr
,ND,J. McwilliamsJ. Mcwilliams,,6 Laps,Event gbr,2002.0,gbr
,,,,,,2002.0,fra
1.0,ND,V. RossiV. Rossi,,34:22.335,Event fra,2002.0,fra
2.0,ND,T. UkawaT. Ukawa,,+0.217,Event fra,2002.0,fra
3.0,ND,M. BiaggiM. Biaggi,,+0.604,Event fra,2002.0,fra
4.0,ND,N. AbeN. Abe,,+1.701,Event fra,2002.0,fra
5.0,ND,K. JrK. Jr,,+8.464,Event fra,2002.0,fra
6.0,ND,N. AokiN. Aoki,,+10.212,Event fra,2002.0,fra
7.0,ND,L. CapirossiL. Capirossi,,+12.437,Event fra,2002.0,fra
8.0,ND,A. BarrosA. Barros,,+15.231,Event fra,2002.0,fra
9.0,ND,R. LaconiR. Laconi,,+17.155,Event fra,2002.0,fra
10.0,ND,J. McwilliamsJ. Mcwilliams,,+21.847,Event fra,2002.0,fra
11.0,ND,J. HopkinsJ. Hopkins,,+25.121,Event fra,2002.0,fra
12.0,ND,S. GibernauS. Gibernau,,+25.919,Event fra,2002.0,fra
13.0,ND,S. NakanoS. Nakano,,+26.227,Event fra,2002.0,fra
14.0,ND,J. BayleJ. Bayle,,+27.011,Event fra,2002.0,fra
15.0,ND,J. GoorberghJ. Goorbergh,,+30.342,Event fra,2002.0,fra
16.0,ND,J. CardosoJ. Cardoso,,+36.574,Event fra,2002.0,fra
,ND,T. HaradaT. Harada,,10 Laps,Event fra,2002.0,fra
,ND,D. KatoD. Kato,,11 Laps,Event fra,2002.0,fra
,ND,O. JacqueO. Jacque,,10 Laps,Event fra,2002.0,fra
,ND,C. ChecaC. Checa,,8 Laps,Event fra,2002.0,fra
,,,,,,2002.0,esp
1.0,ND,A. BarrosA. Barros,,47:22.404,Event esp,2002.0,esp
2.0,ND,V. RossiV. Rossi,,+0.230,Event esp,2002.0,esp
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event esp,2002.0,esp
4.0,ND,D. KatoD. Kato,,+22.504,Event esp,2002.0,esp
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event esp,2002.0,esp
6.0,ND,S. NakanoS. Nakano,,+50.169,Event esp,2002.0,esp
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event esp,2002.0,esp
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event esp,2002.0,esp
9.0,ND,O. JacqueO. Jacque,,+68.312,Event esp,2002.0,esp
10.0,ND,N. AbeN. Abe,,+68.312,Event esp,2002.0,esp
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event esp,2002.0,esp
12.0,ND,A. PittA. Pitt,,+87.427,Event esp,2002.0,esp
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event esp,2002.0,esp
14.0,ND,T. HaradaT. Harada,,+0.000,Event esp,2002.0,esp
,ND,K. JrK. Jr,,24 Laps,Event esp,2002.0,esp
,ND,L. CapirossiL. Capirossi,,19 Laps,Event esp,2002.0,esp
,ND,D. GarciaD. Garcia,,13 Laps,Event esp,2002.0,esp
,ND,G. MccoyG. Mccoy,,6 Laps,Event esp,2002.0,esp
,ND,R. LaconiR. Laconi,,1 Laps,Event esp,2002.0,esp
,ND,N. AokiN. Aoki,,1 Laps,Event esp,2002.0,esp
,ND,J. CardosoJ. Cardoso,,,Event esp,2002.0,esp
,ND,C. ChecaC. Checa,,,Event esp,2002.0,esp
,,,,,,2002.0,qat
1.0,ND,A. BarrosA. Barros,,47:22.404,Event qat,2002.0,qat
2.0,ND,V. RossiV. Rossi,,+0.230,Event qat,2002.0,qat
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event qat,2002.0,qat
4.0,ND,D. KatoD. Kato,,+22.504,Event qat,2002.0,qat
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event qat,2002.0,qat
6.0,ND,S. NakanoS. Nakano,,+50.169,Event qat,2002.0,qat
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event qat,2002.0,qat
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event qat,2002.0,qat
9.0,ND,O. JacqueO. Jacque,,+68.312,Event qat,2002.0,qat
10.0,ND,N. AbeN. Abe,,+68.312,Event qat,2002.0,qat
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event qat,2002.0,qat
12.0,ND,A. PittA. Pitt,,+87.427,Event qat,2002.0,qat
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event qat,2002.0,qat
14.0,ND,T. HaradaT. Harada,,+0.000,Event qat,2002.0,qat
,ND,K. JrK. Jr,,24 Laps,Event qat,2002.0,qat
,ND,L. CapirossiL. Capirossi,,19 Laps,Event qat,2002.0,qat
,ND,D. GarciaD. Garcia,,13 Laps,Event qat,2002.0,qat
,ND,G. MccoyG. Mccoy,,6 Laps,Event qat,2002.0,qat
,ND,R. LaconiR. Laconi,,1 Laps,Event qat,2002.0,qat
,ND,N. AokiN. Aoki,,1 Laps,Event qat,2002.0,qat
,ND,J. CardosoJ. Cardoso,,,Event qat,2002.0,qat
,ND,C. ChecaC. Checa,,,Event qat,2002.0,qat
,,,,,,2002.0,usa
1.0,ND,A. BarrosA. Barros,,47:22.404,Event usa,2002.0,usa
2.0,ND,V. RossiV. Rossi,,+0.230,Event usa,2002.0,usa
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event usa,2002.0,usa
4.0,ND,D. KatoD. Kato,,+22.504,Event usa,2002.0,usa
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event usa,2002.0,usa
6.0,ND,S. NakanoS. Nakano,,+50.169,Event usa,2002.0,usa
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event usa,2002.0,usa
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event usa,2002.0,usa
9.0,ND,O. JacqueO. Jacque,,+68.312,Event usa,2002.0,usa
10.0,ND,N. AbeN. Abe,,+68.312,Event usa,2002.0,usa
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event usa,2002.0,usa
12.0,ND,A. PittA. Pitt,,+87.427,Event usa,2002.0,usa
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event usa,2002.0,usa
14.0,ND,T. HaradaT. Harada,,+0.000,Event usa,2002.0,usa
,ND,K. JrK. Jr,,24 Laps,Event usa,2002.0,usa
,ND,L. CapirossiL. Capirossi,,19 Laps,Event usa,2002.0,usa
,ND,D. GarciaD. Garcia,,13 Laps,Event usa,2002.0,usa
,ND,G. MccoyG. Mccoy,,6 Laps,Event usa,2002.0,usa
,ND,R. LaconiR. Laconi,,1 Laps,Event usa,2002.0,usa
,ND,N. AokiN. Aoki,,1 Laps,Event usa,2002.0,usa
,ND,J. CardosoJ. Cardoso,,,Event usa,2002.0,usa
,ND,C. ChecaC. Checa,,,Event usa,2002.0,usa
,,,,,,2002.0,arg
1.0,ND,A. BarrosA. Barros,,47:22.404,Event arg,2002.0,arg
2.0,ND,V. RossiV. Rossi,,+0.230,Event arg,2002.0,arg
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event arg,2002.0,arg
4.0,ND,D. KatoD. Kato,,+22.504,Event arg,2002.0,arg
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event arg,2002.0,arg
6.0,ND,S. NakanoS. Nakano,,+50.169,Event arg,2002.0,arg
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event arg,2002.0,arg
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event arg,2002.0,arg
9.0,ND,O. JacqueO. Jacque,,+68.312,Event arg,2002.0,arg
10.0,ND,N. AbeN. Abe,,+68.312,Event arg,2002.0,arg
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event arg,2002.0,arg
12.0,ND,A. PittA. Pitt,,+87.427,Event arg,2002.0,arg
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event arg,2002.0,arg
14.0,ND,T. HaradaT. Harada,,+0.000,Event arg,2002.0,arg
,ND,K. JrK. Jr,,24 Laps,Event arg,2002.0,arg
,ND,L. CapirossiL. Capirossi,,19 Laps,Event arg,2002.0,arg
,ND,D. GarciaD. Garcia,,13 Laps,Event arg,2002.0,arg
,ND,G. MccoyG. Mccoy,,6 Laps,Event arg,2002.0,arg
,ND,R. LaconiR. Laconi,,1 Laps,Event arg,2002.0,arg
,ND,N. AokiN. Aoki,,1 Laps,Event arg,2002.0,arg
,ND,J. CardosoJ. Cardoso,,,Event arg,2002.0,arg
,ND,C. ChecaC. Checa,,,Event arg,2002.0,arg
,,,,,,2002.0,tha
1.0,ND,A. BarrosA. Barros,,47:22.404,Event tha,2002.0,tha
2.0,ND,V. RossiV. Rossi,,+0.230,Event tha,2002.0,tha
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event tha,2002.0,tha
4.0,ND,D. KatoD. Kato,,+22.504,Event tha,2002.0,tha
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event tha,2002.0,tha
6.0,ND,S. NakanoS. Nakano,,+50.169,Event tha,2002.0,tha
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event tha,2002.0,tha
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event tha,2002.0,tha
9.0,ND,O. JacqueO. Jacque,,+68.312,Event tha,2002.0,tha
10.0,ND,N. AbeN. Abe,,+68.312,Event tha,2002.0,tha
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event tha,2002.0,tha
12.0,ND,A. PittA. Pitt,,+87.427,Event tha,2002.0,tha
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event tha,2002.0,tha
14.0,ND,T. HaradaT. Harada,,+0.000,Event tha,2002.0,tha
,ND,K. JrK. Jr,,24 Laps,Event tha,2002.0,tha
,ND,L. CapirossiL. Capirossi,,19 Laps,Event tha,2002.0,tha
,ND,D. GarciaD. Garcia,,13 Laps,Event tha,2002.0,tha
,ND,G. MccoyG. Mccoy,,6 Laps,Event tha,2002.0,tha
,ND,R. LaconiR. Laconi,,1 Laps,Event tha,2002.0,tha
,ND,N. AokiN. Aoki,,1 Laps,Event tha,2002.0,tha
,ND,J. CardosoJ. Cardoso,,,Event tha,2002.0,tha
,ND,C. ChecaC. Checa,,,Event tha,2002.0,tha
,,,,,,2003.0,hun
1.0,ND,V. RossiV. Rossi,,47:13.078,Event hun,2003.0,hun
2.0,ND,S. GibernauS. Gibernau,,+0.681,Event hun,2003.0,hun
3.0,ND,L. CapirossiL. Capirossi,,+11.227,Event hun,2003.0,hun
4.0,ND,M. BiaggiM. Biaggi,,+16.293,Event hun,2003.0,hun
5.0,ND,C. ChecaC. Checa,,+20.868,Event hun,2003.0,hun
6.0,ND,A. BarrosA. Barros,,+30.851,Event hun,2003.0,hun
7.0,ND,T. BaylissT. Bayliss,,+37.770,Event hun,2003.0,hun
8.0,ND,C. EdwardsC. Edwards,,+38.922,Event hun,2003.0,hun
9.0,ND,N. AbeN. Abe,,+40.229,Event hun,2003.0,hun
10.0,ND,M. TamadaM. Tamada,,+46.500,Event hun,2003.0,hun
11.0,ND,K. JrK. Jr,,+61.496,Event hun,2003.0,hun
