Rider_normalized,Team,Year,Conditions,Track Conditions,Humidity_num,GroundTemp_num,proba_podio
Hernandezenergy,Energy T.I. Pramac Racing,2014,Partly Cloudy,Dry,22.0,45.0,0.006666666666666667
Pirro,Ducati Team,2014,Partly Cloudy,Dry,22.0,45.0,0.03666666666666667
Abrahamcardion,Cardion AB Motoracing,2014,Partly Cloudy,Dry,22.0,45.0,0.006666666666666667
Reddinggo,GO&FUN Honda Gresini,2014,Partly Cloudy,Dry,22.0,45.0,0.0
Aoyamadrive,Drive M7 Aspar,2014,Partly Cloudy,Dry,22.0,45.0,0.0033333333333333335
Edwardsngm,NGM Forward Racing,2014,Partly Cloudy,Dry,22.0,45.0,0.013333333333333334
Lavertypaul,Paul Bird Motorsport,2014,Partly Cloudy,Dry,22.0,45.0,0.006666666666666667
Parkespaul,Paul Bird Motorsport,2014,Partly Cloudy,Dry,22.0,45.0,0.0033333333333333335
Meglioavintia,Avintia Racing,2014,Partly Cloudy,Dry,22.0,45.0,0.02
Lorenzo,Movistar Yamaha MotoGP,2016,Clear,Dry,40.0,48.0,0.8033333333333333
Marquez,Repsol Honda Team,2016,Clear,Dry,40.0,48.0,0.33
Iannoneducati,Ducati Team,2016,Clear,Dry,40.0,48.0,0.31333333333333335
Pedrosa,Repsol Honda Team,2016,Clear,Dry,40.0,48.0,0.4666666666666667
Dovizioso,Ducati Team,2016,Clear,Dry,40.0,48.0,0.75
Alesteam,Team SUZUKI ECSTAR,2016,Clear,Dry,40.0,48.0,0.09
Smithmonster,Monster Yamaha Tech 3,2016,Clear,Dry,40.0,48.0,0.02
Petrucciocto,OCTO Pramac Yakhnich,2016,Clear,Dry,40.0,48.0,0.06666666666666667
Espargaro,Team SUZUKI ECSTAR,2016,Clear,Dry,40.0,48.0,0.016666666666666666
Pirro,Ducati Team,2016,Clear,Dry,40.0,48.0,0.16666666666666666
Crutchlow,LCR Honda,2016,Clear,Dry,40.0,48.0,0.06
Barberaavintia,Avintia Racing,2016,Clear,Dry,40.0,48.0,0.006666666666666667
Lavertyaspar,Aspar Team MotoGP,2016,Clear,Dry,40.0,48.0,0.006666666666666667
Bradlaprilia,Aprilia Racing Team Gresini,2016,Clear,Dry,40.0,48.0,0.006666666666666667
Espargaro,Monster Yamaha Tech 3,2016,Clear,Dry,40.0,48.0,0.004061896390824055
Hernandezaspar,Aspar Team MotoGP,2016,Clear,Dry,40.0,48.0,0.02
Dovizioso,Ducati Team,2017,Partly Cloudy,Dry,58.0,42.0,0.09666666666666666
Alesmovistar,Movistar Yamaha MotoGP,2017,Partly Cloudy,Dry,58.0,42.0,0.45
Petrucciocto,OCTO Pramac Racing,2017,Partly Cloudy,Dry,58.0,42.0,0.04
Rossi,Movistar Yamaha MotoGP,2017,Partly Cloudy,Dry,58.0,42.0,0.71
Bautistapull,Pull&Bear Aspar Team,2017,Partly Cloudy,Dry,58.0,42.0,0.08333333333333333
Marquez,Repsol Honda Team,2017,Partly Cloudy,Dry,58.0,42.0,0.7966666666666666
