Rider_normalized,Team,Year,Conditions,Track Conditions,proba_podio
Vermeulenrizla,Rizla Suzuki MotoGP,2007,Sunny,Dry,0.11406454158447801
Vermeulenrizla,Rizla Suzuki MotoGP,2008,Sunny,Dry,0.08563302676444734
Vermeulenrizla,Rizla Suzuki MotoGP,2009,Partly Cloudy,Wet,0.036531096886997294
Viñales,Monster Energy Yamaha MotoGP,2019,Partly Cloudy,Dry,0.3055673049773657
Viñales,Monster Energy Yamaha MotoGP,2020,Clear,Dry,0.008829055212246702
Viñales,Monster Energy Yamaha MotoGP,2021,Clear,Dry,0.01765154442896292
Viñales,Aprilia Racing,2023,Partly Cloudy,Dry,0.017363976342535583
Viñales,Aprilia Racing,2024,,,0.011589608584154332
Westkawasaki,Kawasaki Racing Team,2008,Sunny,Dry,0.01146806232130826
Xaus,,2005,Partly Cloudy,Dry,0.015786098879505567
Xausr,,2004,,,0.022492705725111754
Zarco,Monster Yamaha Tech 3,2017,Partly Cloudy,Dry,0.08364998356537766
Zarco,Monster Yamaha Tech 3,2018,Clear,Dry,0.01199812226752228
Zarco,Red Bull KTM Factory Racing,2019,Partly Cloudy,Dry,0.008736615009738765
Zarco,Esponsorama Racing,2020,Clear,Dry,0.00996034245869258
Zarco,Pramac Racing,2021,Clear,Dry,0.06472836852877963
Zarco,Prima Pramac Racing,2023,Partly Cloudy,Dry,0.8754995438700698
Zarco,CASTROL Honda LCR,2024,,,0.00947034302865788
